uf,escolas_conectadas_nivel_4_5,territorio,titulo,eti_matriculas_fomentadas,eti_valor_fomentado,novo_pac_ept_expansao,cnca_cantinho_leitura,cnca_escolas_apoiadas,cnca_valor_cantinhos,cnca_qtd_articuladores_total,cnca_articuladores_renalpha_2026,cnca_valor_materiais,cnca_valor_formacao,cnca_total_investido,pdm_estudantes_beneficiados,pdm_valor_investido,pdm_abrangencia,pdm_referencia,obras_total_aprovadas,obras_valor_previsto,obras_valor_repassado,novo_pac_creches,novo_pac_creches_valor_previsto,novo_pac_eti,novo_pac_eti_valor_previsto,novo_pac_onibus,novo_pac_onibus_valor_previsto,novo_pac_superior_consolidacao,novo_pac_superior_expansao,novo_pac_superior_total_previsto,novo_pac_ept_consolidacao,novo_pac_ept_total_previsto,novopac_ept_expansao_qtd,novo_pac_hu_valor_previsto,fundeb_2023,fundeb_2024,fundeb_2025,fundeb_2026,fundeb_valor_repassado_VAAF,fundeb_valor_repassado_VAAT,fundeb_valor_repassado_VAAR,pnae_escolas_apoiadas,pnae_valor_investido,pnae_abrangencia,pnae_referencia,pnate_estudantes_beneficiados,pnate_valor_investido,pnate_abrangencia,pnate_referencia,if_matriculas,if_numero,if_campi,uf_campi,uf_instituicoes,uf_matriculas_graduacao
AC,"848 (57,1 %)",ACRE,BRIEFING – Visita Ministerial - ACRE,4.763,"R$ 23,90 milhões","R$ 25,00 milhões - 1 campus",1.190,681,"R$ 1,47 milhões",39,"R$ 1,54 milhões","R$ 1,67 milhões","R$ 3,05 milhões","R$ 7,73 milhões",46.636,"R$ 139,65  milhões",2024-2026,Março/2026,27,"R$ 38,88  milhões","R$ 20,10  milhões",7,"R$ 31,75  milhões",10,"R$ 116,93  milhões",33,"R$ 17,05  milhões","R$ 40,00 milhões","R$ 0,00 milhões - 0 Campus","R$ 40,00 milhões","R$ 8,58 milhões","R$ 33,58 milhões",1,"R$ 50,00  milhões","R$ 1,83 bilhões","R$ 2,15 bilhões","R$ 2,36 bilhões","R$ 522,86 milhões",R$ 0,"R$ 33,09 milhões","R$ 2,13 milhões",1.475,"R$ 93,15 milhões",2023-2026,Março/26,46.371,"R$ 30,86 milhões",2023-2026,Março/26,"6,8 mil",1,6,3,1,8.209
AL,"1.773 (74,1 %)",ALAGOAS,BRIEFING – Visita Ministerial - ALAGOAS,17.105,"R$ 72,87 milhões","R$ 75,00 milhões - 3 campi",3.120,1.537,"R$ 3,85 milhões",143,"R$ 5,25 milhões","R$ 3,74 milhões","R$ 7,47 milhões","R$ 20,32 milhões",169.661,"R$ 521,19  milhões",2024-2026,Março/2026,32,"R$ 23,83  milhões","R$ 12,00  milhões",65,"R$ 277,81  milhões",16,"R$ 160,68  milhões",94,"R$ 47,50  milhões","R$ 25,00 milhões","R$ 0,00 milhões - 0 Campus","R$ 25,00 milhões","R$ 61,17 milhões","R$ 136,17 milhões",3,"R$ 9,31  milhões","R$ 5,37 bilhões","R$ 6,31 bilhões","R$ 7,54 bilhões","R$ 1,80 bilhões","R$ 221,66 milhões","R$ 403,60 milhões","R$ 66,74 milhões",2.380,"R$ 347,36 milhões",2023-2026,Março/26,146.258,"R$ 65,77 milhões",2023-2026,Março/26,"20,2 mil",1,16,4,1,23.216
AM,"3.028 (58,7 %)",AMAZONAS,BRIEFING – Visita Ministerial - AMAZONAS,21.236,"R$ 128,35 milhões","R$ 50,00 milhões - 2 campi",4.219,2.055,"R$ 5,21 milhões",91,"R$ 3,34 milhões","R$ 4,95 milhões","R$ 37,19 milhões","R$ 50,70 milhões",248.834,"R$ 731,22  milhões",2024-2026,Março/2026,122,"R$ 196,51  milhões","R$ 90,96  milhões",44,"R$ 183,43  milhões",17,"R$ 181,18  milhões",58,"R$ 28,45  milhões","R$ 46,50 milhões","R$ 60,00 milhões - 1 Campus","R$ 106,50 milhões","R$ 61,03 milhões","R$ 111,03 milhões",2,Não se aplica,"R$ 6,76 bilhões","R$ 8,38 bilhões","R$ 9,10 bilhões","R$ 1,99 bilhões","R$ 376,91 milhões","R$ 374,96 milhões","R$ 72,77 milhões",5.150,"R$ 449,07 milhões",2023-2026,Março/26,126.838,"R$ 102,21 milhões",2023-2026,Março/26,"24,1 mil",1,17,7,1,19.828
AP,"248 (31,6 %)",AMAPÁ,BRIEFING – Visita Ministerial - AMAPÁ,4.481,"R$ 14,04 milhões","R$ 47,00 milhões - 2 campi",443,162,"R$ 547,105",35,"R$ 1,40 milhões","R$ 577,156","R$ 2,30 milhões","R$ 4,82 milhões",44.951,"R$ 132,25  milhões",2024-2026,Março/2026,19,"R$ 29,14  milhões","R$ 20,72  milhões",16,"R$ 66,57  milhões",3,"R$ 33,97  milhões",10,"R$ 4,98  milhões","R$ 20,70 milhões","R$ 0,00 milhões - 0 Campus","R$ 20,70 milhões","R$ 24,76 milhões","R$ 71,76 milhões",2,Não se aplica,"R$ 1,63 bilhões","R$ 1,83 bilhões","R$ 1,94 bilhões","R$ 429,98 milhões",R$ 0,"R$ 6,93 milhões","R$ 8,98 milhões",785,"R$ 46,08 milhões",2023-2026,Março/26,19.776,"R$ 11,23 milhões",2023-2026,Março/26,"7,5 mil",1,6,5,1,9.622
BA,"9.332 (69,8 %)",BAHIA,BRIEFING – Visita Ministerial - BAHIA,84.456,"R$ 439,94 milhões","R$ 200,00 milhões - 8 campi",15.053,9.503,"R$ 18,59 milhões",501,"R$ 16,47 milhões","R$ 14,43 milhões","R$ 66,31 milhões","R$ 115,79 milhões",708.952,"R$ 2,11  bilhões",2024-2026,Março/2026,294,"R$ 389,15  milhões","R$ 216,26  milhões",134,"R$ 597,05  milhões",62,"R$ 629,15  milhões",342,"R$ 162,75  milhões","R$ 257,15 milhões","R$ 60,00 milhões - 1 Campus","R$ 317,15 milhões","R$ 51,51 milhões","R$ 251,51 milhões",8,"R$ 34,60  milhões","R$ 20,25 bilhões","R$ 24,38 bilhões","R$ 27,71 bilhões","R$ 6,71 bilhões","R$ 1,50 bilhões","R$ 1,41 bilhões","R$ 104,73 milhões",13.660,"R$ 1,24 bilhões",2023-2026,Março/26,589.097,"R$ 358,06 milhões",2023-2026,Março/26,"51,9 mil",2,38,23,6,44.494
CE,"4.033 (67,5 %)",CEARÁ,BRIEFING – Visita Ministerial - CEARÁ,29.740,"R$ 168,40 milhões","R$ 150,00 milhões - 6 campi",8.583,4.333,"R$ 10,60 milhões",250,"R$ 8,96 milhões","R$ 19,95 milhões","R$ 25,67 milhões","R$ 65,18 milhões",483.207,"R$ 1,52  bilhões",2024-2026,Março/2026,203,"R$ 302,27  milhões","R$ 187,24  milhões",115,"R$ 496,48  milhões",59,"R$ 613,61  milhões",213,"R$ 101,35  milhões","R$ 314,64 milhões","R$ 60,00 milhões - 1 Campus","R$ 374,64 milhões","R$ 53,58 milhões","R$ 203,58 milhões",6,"R$ 227,55  milhões","R$ 12,82 bilhões","R$ 15,80 bilhões","R$ 18,58 bilhões","R$ 4,78 bilhões","R$ 1,31 bilhões","R$ 1,06 bilhões","R$ 102,04 milhões",6.159,"R$ 1,07 bilhões",2023-2026,Março/26,375.842,"R$ 235,29 milhões",2023-2026,Março/26,"57,1 mil",1,33,16,3,35.057
DF,"446 (61,8 %)",DISTRITO FEDERAL,BRIEFING – Visita Ministerial - DISTRITO FEDERAL,2.763,"R$ 4,68 milhões","R$ 50,00 milhões - 2 campi",961,191,"R$ 1,19 milhões",29,"R$ 1,38 milhões","R$ 2,46 milhões","R$ 98,243","R$ 5,13 milhões",77.948,"R$ 200,42  milhões",2024-2026,Março/2026,,,,5,"R$ 21,59  milhões",1,"R$ 11,09  milhões",0,0,"R$ 58,90 milhões","R$ 0,00 milhões - 0 Campus","R$ 58,90 milhões","R$ 22,83 milhões","R$ 72,83 milhões",2,Não se aplica,"R$ 2,82 bilhões","R$ 3,22 bilhões","R$ 3,40 bilhões","R$ 642,69 milhões",R$ 0,R$ 0,R$ 0,803,"R$ 183,32 milhões",2023-2026,Março/26,16.594,"R$ 5,56 milhões",2023-2026,Março/26,"22,8 mil",1,10,4,1,38.523
ES,"1.998 (75,9 %)",ESPÍRITO SANTO,BRIEFING – Visita Ministerial - ESPÍRITO SANTO,14.710,"R$ 63,86 milhões","R$ 25,00 milhões - 1 campus",4.053,1.446,"R$ 5,01 milhões",113,"R$ 4,12 milhões","R$ 5,32 milhões","R$ 624,559","R$ 15,06 milhões",113.497,"R$ 305,84  milhões",2024-2026,Março/2026,6,"R$ 9,75  milhões","R$ 5,94  milhões",43,"R$ 191,25  milhões",20,"R$ 198,97  milhões",46,"R$ 22,03  milhões","R$ 33,00 milhões","R$ 0,00 milhões - 0 Campus","R$ 33,00 milhões","R$ 39,98 milhões","R$ 64,98 milhões",1,"R$ 30,00  milhões","R$ 5,27 bilhões","R$ 6,11 bilhões","R$ 6,72 bilhões","R$ 1,41 bilhões",R$ 0,"R$ 66,07 milhões","R$ 29,38 milhões",2.686,"R$ 294,24 milhões",2023-2026,Março/26,75.731,"R$ 45,81 milhões",2023-2026,Março/26,"55,0 mil",1,23,4,1,21.333
GO,"2.909 (81,3 %)",GOIÁS,BRIEFING – Visita Ministerial - GOIÁS,22.290,"R$ 91,07 milhões","R$ 75,00 milhões - 3 campi",5.083,1.634,"R$ 6,28 milhões",367,"R$ 13,15 milhões","R$ 8,89 milhões","R$ 16,55 milhões","R$ 44,87 milhões",218.164,"R$ 582,90  milhões",2024-2026,Março/2026,73,"R$ 72,57  milhões","R$ 44,52  milhões",107,"R$ 441,12  milhões",18,"R$ 176,99  milhões",41,"R$ 20,63  milhões","R$ 82,46 milhões","R$ 60,00 milhões - 1 Campus","R$ 142,46 milhões","R$ 70,10 milhões","R$ 145,10 milhões",3,Não se aplica,"R$ 8,42 bilhões","R$ 9,71 bilhões","R$ 10,28 bilhões","R$ 2,39 bilhões",R$ 0,"R$ 51,68 milhões","R$ 123,34 milhões",3.762,"R$ 535,75 milhões",2023-2026,Março/26,65.793,"R$ 36,34 milhões",2023-2026,Março/26,"45,7 mil",2,26,9,3,23.358
MA,"7.679 (76,2 %)",MARANHÃO,BRIEFING – Visita Ministerial - MARANHÃO,29.448,"R$ 160,93 milhões","R$ 100,00 milhões - 4 campi",11.485,7.934,"R$ 14,18 milhões",279,"R$ 9,67 milhões","R$ 10,14 milhões","R$ 31,68 milhões","R$ 65,67 milhões",406.174,"R$ 1,27  bilhões",2024-2026,Março/2026,542,"R$ 581,78  milhões","R$ 275,45  milhões",106,"R$ 461,62  milhões",55,"R$ 537,70  milhões",195,"R$ 93,64  milhões","R$ 39,59 milhões","R$ 0,00 milhões - 0 Campus","R$ 39,59 milhões","R$ 49,79 milhões","R$ 149,79 milhões",4,"R$ 25,00  milhões","R$ 12,73 bilhões","R$ 15,88 bilhões","R$ 18,28 bilhões","R$ 4,50 bilhões","R$ 1,30 bilhões","R$ 1,15 bilhões","R$ 163,94 milhões",10.420,"R$ 889,40 milhões",2023-2026,Março/26,271.651,"R$ 171,08 milhões",2023-2026,Março/26,"44,0 mil",1,29,9,1,32.038
MG,"8.893 (73,7 %)",MINAS GERAIS,BRIEFING – Visita Ministerial - MINAS GERAIS,35.486,"R$ 167,64 milhões","R$ 225,00 milhões - 9 campi",19.001,5.671,"R$ 23,47 milhões",996,"R$ 34,26 milhões","R$ 22,61 milhões","R$ 66,96 milhões","R$ 147,29 milhões",600.667,"R$ 1,66  bilhões",2024-2026,Março/2026,121,"R$ 141,32  milhões","R$ 77,51  milhões",131,"R$ 540,33  milhões",34,"R$ 321,94  milhões",193,"R$ 92,00  milhões","R$ 393,92 milhões","R$ 60,00 milhões - 1 Campus","R$ 453,92 milhões","R$ 208,35 milhões","R$ 433,35 milhões",9,"R$ 303,46  milhões","R$ 23,86 bilhões","R$ 26,99 bilhões","R$ 29,21 bilhões","R$ 6,84 bilhões",R$ 0,"R$ 109,04 milhões","R$ 47,12 milhões",12.958,"R$ 1,59 bilhões",2023-2026,Março/26,360.790,"R$ 179,57 milhões",2023-2026,Março/26,"163,5 mil",5,58,39,11,144.998
MS,"1.092 (79,3 %)",MATO GROSSO DO SUL,BRIEFING – Visita Ministerial - MATO GROSSO DO SUL,14.926,"R$ 34,93 milhões","R$ 50,00 milhões - 2 campi",2.152,641,"R$ 2,66 milhões",117,"R$ 4,26 milhões","R$ 3,86 milhões","R$ 7,50 milhões","R$ 18,28 milhões",82.007,"R$ 220,06  milhões",2024-2026,Março/2026,22,"R$ 33,42  milhões","R$ 17,45  milhões",33,"R$ 151,16  milhões",16,"R$ 161,92  milhões",39,"R$ 18,15  milhões","R$ 40,44 milhões","R$ 0,00 milhões - 0 Campus","R$ 40,44 milhões","R$ 38,36 milhões","R$ 88,36 milhões",2,"R$ 65,51  milhões","R$ 4,49 bilhões","R$ 4,97 bilhões","R$ 5,30 bilhões","R$ 1,13 bilhões",R$ 0,"R$ 3,69 milhões","R$ 7,93 milhões",1.493,"R$ 263,57 milhões",2023-2026,Março/26,56.613,"R$ 30,27 milhões",2023-2026,Março/26,"82,7 mil",1,10,11,2,24.945
