uf,escolas_conectadas_nivel_4_5,territorio,titulo,eti_matriculas_fomentadas,eti_valor_fomentado,novo_pac_ept_expansao,cnca_cantinho_leitura,cnca_escolas_apoiadas,cnca_valor_cantinhos,cnca_qtd_articuladores_total,cnca_articuladores_renalpha_2026,cnca_valor_materiais,cnca_valor_formacao,cnca_total_investido,pdm_estudantes_beneficiados,pdm_valor_investido,pdm_abrangencia,pdm_referencia,obras_total_aprovadas,obras_valor_previsto,obras_valor_repassado,novo_pac_creches,novo_pac_creches_valor_previsto,novo_pac_eti,novo_pac_eti_valor_previsto,novo_pac_onibus,novo_pac_onibus_valor_previsto,novo_pac_superior_consolidacao,novo_pac_superior_expansao,novo_pac_superior_total_previsto,novo_pac_ept_consolidacao,novo_pac_ept_total_previsto,novopac_ept_expansao_qtd,novo_pac_hu_valor_previsto,fundeb_2023,fundeb_2024,fundeb_2025,fundeb_2026,fundeb_valor_repassado_VAAF,fundeb_valor_repassado_VAAT,fundeb_valor_repassado_VAAR,pnae_escolas_apoiadas,pnae_valor_investido,pnae_abrangencia,pnae_referencia,pnate_estudantes_beneficiados,pnate_valor_investido,pnate_abrangencia,pnate_referencia,if_matriculas,if_numero,if_campi,uf_campi,uf_instituicoes,uf_matriculas_graduacao
MT,"1.716 (76,7 %)",MATO GROSSO,BRIEFING – Visita Ministerial - MATO GROSSO,9.711,"R$ 32,18 milhões","R$ 75,00 milhões - 3 campi",2.674,933,"R$ 3,30 milhões",183,"R$ 6,56 milhões","R$ 5,34 milhões","R$ 18,02 milhões","R$ 33,22 milhões",118.366,"R$ 302,91  milhões",2024-2026,Março/2026,38,"R$ 36,11  milhões","R$ 21,02  milhões",46,"R$ 220,77  milhões",12,"R$ 133,88  milhões",43,"R$ 20,38  milhões","R$ 30,95 milhões","R$ 69,00 milhões - 0 Campus","R$ 99,95 milhões","R$ 42,51 milhões","R$ 117,51 milhões",3,Não se aplica,"R$ 6,15 bilhões","R$ 6,68 bilhões","R$ 7,67 bilhões","R$ 1,59 bilhões",R$ 0,"R$ 4,62 milhões","R$ 29,23 milhões",2.316,"R$ 343,24 milhões",2023-2026,Março/26,78.934,"R$ 43,93 milhões",2023-2026,Março/26,"29,6 mil",1,19,6,2,17.082
PA,"6.370 (66,1 %)",PARÁ,BRIEFING – Visita Ministerial - PARÁ,61.697,"R$ 351,68 milhões","R$ 125,00 milhões - 5 campi",9.467,6.047,"R$ 11,69 milhões",265,"R$ 9,67 milhões","R$ 13,31 milhões","R$ 12,90 milhões","R$ 47,57 milhões",480.118,"R$ 1,49  bilhões",2024-2026,Março/2026,344,"R$ 390,70  milhões","R$ 227,65  milhões",95,"R$ 396,43  milhões",39,"R$ 395,47  milhões",167,"R$ 83,36  milhões","R$ 133,79 milhões","R$ 35,00 milhões - 1 Campus","R$ 168,79 milhões","R$ 54,43 milhões","R$ 179,43 milhões",5,"R$ 52,00  milhões","R$ 14,15 bilhões","R$ 16,22 bilhões","R$ 18,52 bilhões","R$ 4,49 bilhões","R$ 1,34 bilhões","R$ 1,02 bilhões","R$ 147,20 milhões",9.669,"R$ 782,41 milhões",2023-2026,Março/26,452.273,"R$ 320,88 milhões",2023-2026,Março/26,"27,0 mil",1,18,31,4,54.553
PB,"2.934 (78,8 %)",PARAÍBA,BRIEFING – Visita Ministerial - PARAÍBA,12.250,"R$ 79,95 milhões","R$ 100,00 milhões - 4 campi",4.271,2.537,"R$ 5,27 milhões",273,"R$ 9,36 milhões","R$ 4,62 milhões","R$ 26,00 milhões","R$ 45,26 milhões",192.207,"R$ 584,43  milhões",2024-2026,Março/2026,60,"R$ 70,94  milhões","R$ 37,73  milhões",44,"R$ 176,83  milhões",43,"R$ 413,21  milhões",131,"R$ 65,31  milhões","R$ 47,10 milhões","R$ 0,00 milhões - 0 Campus","R$ 47,10 milhões","R$ 69,03 milhões","R$ 169,03 milhões",4,"R$ 32,83  milhões","R$ 5,57 bilhões","R$ 6,54 bilhões","R$ 7,26 bilhões","R$ 1,68 bilhões","R$ 72,15 milhões","R$ 292,02 milhões","R$ 32,90 milhões",3.707,"R$ 365,99 milhões",2023-2026,Março/26,117.770,"R$ 72,48 milhões",2023-2026,Março/26,"33,9 mil",1,21,11,2,41.511
PE,"4.179 (71,0 %)",PERNAMBUCO,BRIEFING – Visita Ministerial - PERNAMBUCO,36.007,"R$ 192,08 milhões","R$ 150,00 milhões - 6 campi",8.056,4.317,"R$ 9,95 milhões",233,"R$ 8,25 milhões","R$ 10,14 milhões","R$ 18,43 milhões","R$ 46,77 milhões",467.006,"R$ 1,42  bilhões",2024-2026,Março/2026,76,"R$ 126,29  milhões","R$ 57,64  milhões",130,"R$ 520,48  milhões",45,"R$ 452,27  milhões",162,"R$ 80,69  milhões","R$ 161,27 milhões","R$ 60,00 milhões - 1 Campus","R$ 221,27 milhões","R$ 72,39 milhões","R$ 222,39 milhões",6,"R$ 58,00  milhões","R$ 10,67 bilhões","R$ 12,83 bilhões","R$ 14,13 bilhões","R$ 3,50 bilhões","R$ 420,73 milhões","R$ 475,92 milhões","R$ 128,47 milhões",5.971,"R$ 778,96 milhões",2023-2026,Março/26,273.550,"R$ 162,20 milhões",2023-2026,Março/26,"39,8 mil",2,23,12,4,45.348
PI,"2.985 (83,9 %)",PIAUÍ,BRIEFING – Visita Ministerial - PIAUÍ,14.717,"R$ 93,81 milhões","R$ 90,00 milhões - 4 campi",4.315,2.393,"R$ 5,33 milhões",289,"R$ 10,27 milhões","R$ 5,02 milhões","R$ 36,78 milhões","R$ 57,40 milhões",187.389,"R$ 569,35  milhões",2024-2026,Março/2026,123,"R$ 110,40  milhões","R$ 66,22  milhões",75,"R$ 321,94  milhões",41,"R$ 389,42  milhões",148,"R$ 71,73  milhões","R$ 38,64 milhões","R$ 0,00 milhões - 0 Campus","R$ 38,64 milhões","R$ 24,48 milhões","R$ 114,48 milhões",4,Não se aplica,"R$ 5,89 bilhões","R$ 6,71 bilhões","R$ 7,93 bilhões","R$ 2,15 bilhões","R$ 444,72 milhões","R$ 483,81 milhões","R$ 64,93 milhões",3.587,"R$ 420,70 milhões",2023-2026,Março/26,159.539,"R$ 104,43 milhões",2023-2026,Março/26,"33,1 mil",1,20,6,3,21.924
PR,"6.347 (85,7 %)",PARANÁ,BRIEFING – Visita Ministerial - PARANÁ,41.794,"R$ 199,88 milhões","R$ 140,00 milhões - 6 campi",9.936,3.642,"R$ 12,27 milhões",497,"R$ 17,36 milhões","R$ 13,15 milhões","R$ 21,81 milhões","R$ 64,58 milhões",258.586,"R$ 672,65  milhões",2024-2026,Março/2026,49,"R$ 89,43  milhões","R$ 54,53  milhões",85,"R$ 399,62  milhões",15,"R$ 163,23  milhões",55,"R$ 25,85  milhões","R$ 865,50 milhões","R$ 0,00 milhões - 0 Campus","R$ 865,50 milhões","R$ 40,05 milhões","R$ 180,05 milhões",6,Não se aplica,"R$ 14,31 bilhões","R$ 16,18 bilhões","R$ 17,52 bilhões","R$ 3,99 bilhões",R$ 0,"R$ 17,11 milhões","R$ 190,92 milhões",7.999,"R$ 937,80 milhões",2023-2026,Março/26,191.562,"R$ 105,41 milhões",2023-2026,Março/26,"30,6 mil",1,26,28,4,59.662
RJ,"4.842 (70,1 %)",RIO DE JANEIRO,BRIEFING – Visita Ministerial - RIO DE JANEIRO,29.972,"R$ 120,93 milhões","R$ 175,00 milhões - 7 campi",10.858,3.500,"R$ 13,41 milhões",136,"R$ 4,99 milhões","R$ 11,25 milhões","R$ 13,79 milhões","R$ 43,44 milhões",487.497,"R$ 1,35  bilhões",2024-2026,Março/2026,19,"R$ 26,76  milhões","R$ 9,51  milhões",63,"R$ 279,57  milhões",29,"R$ 313,42  milhões",42,"R$ 21,55  milhões","R$ 143,91 milhões","R$ 0,00 milhões - 0 Campus","R$ 143,91 milhões","R$ 61,49 milhões","R$ 236,49 milhões",7,"R$ 115,00  milhões","R$ 15,95 bilhões","R$ 16,36 bilhões","R$ 16,92 bilhões","R$ 4,31 bilhões","R$ -38,278,560","R$ 29,24 milhões","R$ 12,84 milhões",7.382,"R$ 1,07 bilhões",2023-2026,Março/26,74.698,"R$ 32,26 milhões",2023-2026,Março/26,"43,5 mil",2,27,25,4,107.509
RN,"2.248 (82,9 %)",RIO GRANDE DO NORTE,BRIEFING – Visita Ministerial - RIO GRANDE DO NORTE,15.232,"R$ 60,23 milhões","R$ 75,00 milhões - 3 campi",3.227,1.779,"R$ 3,99 milhões",217,"R$ 7,69 milhões","R$ 4,05 milhões","R$ 26,61 milhões","R$ 42,35 milhões",140.443,"R$ 440,90  milhões",2024-2026,Março/2026,81,"R$ 68,97  milhões","R$ 37,56  milhões",50,"R$ 211,82  milhões",24,"R$ 235,34  milhões",129,"R$ 62,53  milhões","R$ 68,70 milhões","R$ 0,00 milhões - 0 Campus","R$ 68,70 milhões","R$ 13,10 milhões","R$ 88,10 milhões",3,"R$ 40,00  milhões","R$ 4,15 bilhões","R$ 4,69 bilhões","R$ 5,21 bilhões","R$ 1,20 bilhões",R$ 0,"R$ 118,72 milhões","R$ 20,89 milhões",2.694,"R$ 268,54 milhões",2023-2026,Março/26,94.425,"R$ 51,87 milhões",2023-2026,Março/26,"45,4 mil",1,22,9,2,40.548
RO,"758 (73,9 %)",RONDÔNIA,BRIEFING – Visita Ministerial - RONDÔNIA,2.310,"R$ 10,84 milhões","R$ 25,00 milhões - 1 campus",1.264,496,"R$ 1,56 milhões",106,"R$ 4,15 milhões","R$ 1,58 milhões","R$ 12,60 milhões","R$ 19,89 milhões",65.571,"R$ 173,92  milhões",2024-2026,Março/2026,23,"R$ 27,15  milhões","R$ 18,03  milhões",24,"R$ 109,28  milhões",7,"R$ 79,31  milhões",31,"R$ 14,25  milhões","R$ 16,30 milhões","R$ 0,00 milhões - 0 Campus","R$ 16,30 milhões","R$ 27,51 milhões","R$ 52,51 milhões",1,Não se aplica,"R$ 2,69 bilhões","R$ 3,07 bilhões","R$ 3,33 bilhões","R$ 692,33 milhões",R$ 0,"R$ 782,651","R$ 7,05 milhões",1.065,"R$ 138,76 milhões",2023-2026,Março/26,61.667,"R$ 30,78 milhões",2023-2026,Março/26,"21,9 mil",1,10,8,1,6.127
RR,"460 (53,2 %)",RORAIMA,BRIEFING – Visita Ministerial - RORAIMA,833,"R$ 4,21 milhões","R$ 25,00 milhões - 1 campus",446,130,"R$ 550,810",29,"R$ 1,15 milhões","R$ 390,999","R$ 5,00 milhões","R$ 7,09 milhões",26.324,"R$ 74,03  milhões",2024-2026,Março/2026,6,"R$ 8,33  milhões","R$ 3,01  milhões",5,"R$ 23,36  milhões",4,"R$ 43,01  milhões",16,"R$ 8,04  milhões","R$ 8,40 milhões","R$ 0,00 milhões - 0 Campus","R$ 8,40 milhões","R$ 21,05 milhões","R$ 46,05 milhões",1,"R$ 50,00  milhões","R$ 1,47 bilhões","R$ 1,73 bilhões","R$ 1,91 bilhões","R$ 413,07 milhões",R$ 0,"R$ 8,11 milhões","R$ 1,42 milhões",858,"R$ 66,98 milhões",2023-2026,Março/26,20.637,"R$ 11,18 milhões",2023-2026,Março/26,"7,2 mil",1,5,3,1,4.512
RS,"5.993 (82,9 %)",RIO GRANDE DO SUL,BRIEFING – Visita Ministerial - RIO GRANDE DO SUL,21.926,"R$ 66,21 milhões","R$ 180,00 milhões - 8 campi",9.734,4.457,"R$ 12,02 milhões",589,"R$ 20,26 milhões","R$ 16,35 milhões","R$ 38,09 milhões","R$ 86,72 milhões",216.158,"R$ 518,88  milhões",2024-2026,Março/2026,73,"R$ 104,93  milhões","R$ 68,86  milhões",72,"R$ 301,34  milhões",12,"R$ 134,99  milhões",120,"R$ 54,44  milhões","R$ 150,94 milhões","R$ 60,00 milhões - 1 Campus","R$ 210,94 milhões","R$ 95,29 milhões","R$ 275,29 milhões",8,"R$ 364,28  milhões","R$ 13,64 bilhões","R$ 15,65 bilhões","R$ 16,16 bilhões","R$ 3,64 bilhões",R$ 0,"R$ 1,96 milhões","R$ 37,07 milhões",7.887,"R$ 824,23 milhões",2023-2026,Março/26,180.696,"R$ 103,49 milhões",2023-2026,Março/26,"836,7 mil",3,42,30,7,78.535
SC,"4.111 (78,8 %)",SANTA CATARINA,BRIEFING – Visita Ministerial - SANTA CATARINA,19.506,"R$ 90,03 milhões","R$ 75,00 milhões - 3 campi",5.877,2.494,"R$ 7,26 milhões",405,"R$ 14,51 milhões","R$ 8,94 milhões","R$ 13,55 milhões","R$ 44,26 milhões",113.874,"R$ 286,18  milhões",2024-2026,Março/2026,18,"R$ 39,58  milhões","R$ 22,05  milhões",25,"R$ 120,07  milhões",24,"R$ 260,41  milhões",40,"R$ 19,82  milhões","R$ 61,50 milhões","R$ 0,00 milhões - 0 Campus","R$ 61,50 milhões","R$ 54,46 milhões","R$ 129,46 milhões",3,"R$ 10,00  milhões","R$ 10,21 bilhões","R$ 11,84 bilhões","R$ 12,71 bilhões","R$ 2,76 bilhões",R$ 0,"R$ 10,41 milhões","R$ 29,08 milhões",5.419,"R$ 645,02 milhões",2023-2026,Março/26,133.497,"R$ 69,99 milhões",2023-2026,Março/26,"59,1 mil",2,37,6,2,27.760
SE,"1.143 (75,3 %)",SERGIPE,BRIEFING – Visita Ministerial - SERGIPE,7.864,"R$ 34,83 milhões","R$ 50,00 milhões - 2 campi",1.940,1.106,"R$ 2,40 milhões",107,"R$ 3,86 milhões","R$ 2,55 milhões","R$ 9,03 milhões","R$ 17,84 milhões",109.261,"R$ 334,84  milhões",2024-2026,Março/2026,24,"R$ 29,70  milhões","R$ 18,88  milhões",43,"R$ 163,54  milhões",13,"R$ 124,77  milhões",49,"R$ 22,92  milhões","R$ 25,36 milhões","R$ 60,00 milhões - 1 Campus","R$ 85,36 milhões","R$ 27,80 milhões","R$ 77,80 milhões",2,"R$ 39,94  milhões","R$ 3,07 bilhões","R$ 3,51 bilhões","R$ 4,07 bilhões","R$ 952,15 milhões",R$ 0,"R$ 79,77 milhões","R$ 39,85 milhões",1.522,"R$ 196,32 milhões",2023-2026,Março/26,80.547,"R$ 47,56 milhões",2023-2026,Março/26,"11,4 mil",1,10,7,1,21.647
SP,"12.366 (64,5 %)",SÃO PAULO,BRIEFING – Visita Ministerial - SÃO PAULO,103.016,"R$ 315,70 milhões","R$ 340,00 milhões - 14 campi",24.659,5.374,"R$ 30,45 milhões",917,"R$ 32,28 milhões","R$ 44,09 milhões","R$ 60,74 milhões","R$ 167,56 milhões",981.386,"R$ 2,47  bilhões",2024-2026,Março/2026,43,"R$ 61,67  milhões","R$ 36,64  milhões",94,"R$ 445,03  milhões",41,"R$ 410,05  milhões",28,"R$ 14,03  milhões","R$ 272,31 milhões","R$ 60,00 milhões - 1 Campus","R$ 332,31 milhões","R$ 150,20 milhões","R$ 490,20 milhões",14,"R$ 281,50  milhões","R$ 51,98 bilhões","R$ 59,17 bilhões","R$ 62,34 bilhões","R$ 13,05 bilhões",R$ 0,"R$ 28,82 milhões","R$ 52,17 milhões",22.485,"R$ 3,73 bilhões",2023-2026,Março/26,227.737,"R$ 109,20 milhões",2023-2026,Março/26,"67,9 mil",1,41,14,3,40.316
TO,"1.125 (81,4 %)",TOCANTINS,BRIEFING – Visita Ministerial - TOCANTINS,9.380,"R$ 30,14 milhões","R$ 25,00 milhões - 1 campus",1.677,823,"R$ 2,07 milhões",180,"R$ 6,49 milhões","R$ 1,17 milhões","R$ 415,323","R$ 10,15 milhões",76.896,"R$ 213,59  milhões",2024-2026,Março/2026,53,"R$ 66,29  milhões","R$ 45,74  milhões",24,"R$ 106,22  milhões",23,"R$ 245,42  milhões",52,"R$ 25,72  milhões","R$ 37,30 milhões","R$ 0,00 milhões - 0 Campus","R$ 37,30 milhões","R$ 45,23 milhões","R$ 70,23 milhões",1,Não se aplica,"R$ 2,99 bilhões","R$ 3,41 bilhões","R$ 3,69 bilhões","R$ 799,33 milhões",R$ 0,"R$ 13,00 milhões","R$ 8,98 milhões",1.416,"R$ 190,20 milhões",2023-2026,Março/26,42.439,"R$ 24,55 milhões",2023-2026,Março/26,"16,2 mil",1,12,7,2,12.391