uf,nome,creches_edital_1,creches_edital_2,qtd_creches,eti_edital_1,qtd_eti,onibus_edital_1,onibus_edital_2,qtd_onibus,indigena_valor,qtd_indigena,subtotal_edbasica_valor,sesu_expansao_valor,sesu_qtd_campus,sesu_consolidacao_valor,sesu_consolidacao_qtd,hu_valor,subtotal_edsuperior_valor,ept_expansao_valor,ept_qtd_campus,ept_consolidacao_valor,sesu_consolidacao_qtd_1,subtotal_ept_valor,total_novopac_valor,pdm_estudantes,escolas_conectadas_45,eti_matriculas,pacto_obras_qtd,cnca_cantinhos,cnca_articuladores
MS,MATO GROSSO DO SUL,"R$ 141.289.774,29","R$ 9.865.702,33",33,"R$ 161.921.439,70",16,"R$ 10.992.516,80","R$ 7.153.790,73",39,"R$ 0,00",0,"R$ 331.223.223,85","R$ 0,00",0 campus,"R$ 40.443.879,37",15 obras em 10 campi,"R$ 65.513.650,00","R$ 105.957.529,37","R$ 50.000.000,00",2 campus,"R$ 38.359.503,29",16 obras em 9 campi,"R$ 88.359.503,29","R$ 525.540.256,51",84.07 mil,1.10 mil,30.43 mil,22,2.15 mil,117
MG,MINAS GERAIS,"R$ 396.659.109,61","R$ 143.668.845,68",131,"R$ 321.940.494,80",34,"R$ 69.353.849,00","R$ 22.642.414,19",193,"R$ 0,00",0,"R$ 954.264.713,28","R$ 60.000.000,00",1 campus,"R$ 393.922.198,56",50 obras em 26 campi,"R$ 303.459.116,00","R$ 757.381.314,56","R$ 225.000.000,00",9 campus,"R$ 208.349.588,90",74 obras em 50 campi,"R$ 433.349.588,90","R$ 2.144.995.616,74",632.13 mil,9.00 mil,152.29 mil,123,19.00 mil,996
BA,BAHIA,"R$ 456.423.910,44","R$ 140.626.635,95",134,"R$ 629.145.029,47",62,"R$ 113.011.752,00","R$ 49.742.181,08",342,"R$ 0,00",0,"R$ 1.388.949.508,94","R$ 60.000.000,00",1 campus,"R$ 270.400.316,48",40 obras em 17 campi,"R$ 34.600.000,00","R$ 365.000.316,48","R$ 200.000.000,00",8 campus,"R$ 51.508.885,30",19 obras em 13 campi,"R$ 251.508.885,30","R$ 2.005.458.710,72",718.06 mil,9.42 mil,170.25 mil,297,15.05 mil,501
SC,SANTA CATARINA,"R$ 102.050.361,79","R$ 18.019.936,60",25,"R$ 260.409.840,41",24,"R$ 11.789.643,47","R$ 8.027.067,68",40,"R$ 0,00",0,"R$ 400.296.849,95","R$ 0,00",0 campus,"R$ 61.500.000,00",8 obras em 3 campi,"R$ 10.000.000,00","R$ 71.500.000,00","R$ 75.000.000,00",3 campus,"R$ 54.455.995,12",23 obras em 20 campi,"R$ 129.455.995,12","R$ 601.252.845,07",115.45 mil,4.13 mil,46.65 mil,18,5.88 mil,405
MA,MARANHÃO,"R$ 356.793.582,13","R$ 104.831.113,73",106,"R$ 537.701.499,86",55,"R$ 44.365.591,00","R$ 49.277.987,93",195,"R$ 0,00",0,"R$ 1.092.969.774,65","R$ 0,00",0 campus,"R$ 39.587.941,24",10 obras em 8 campi,"R$ 25.000.000,00","R$ 64.587.941,24","R$ 100.000.000,00",4 campus,"R$ 49.794.763,16",19 obras em 17 campi,"R$ 149.794.763,16","R$ 1.307.352.479,05",414.61 mil,7.73 mil,64.70 mil,543,11.49 mil,279
SE,SERGIPE,"R$ 133.605.758,45","R$ 29.938.423,49",43,"R$ 124.772.686,65",13,"R$ 11.822.860,00","R$ 11.097.764,37",49,"R$ 0,00",0,"R$ 311.237.492,96","R$ 60.000.000,00",1 campus,"R$ 25.360.512,50",8 obras em 4 campi,"R$ 39.938.762,19","R$ 125.299.274,69","R$ 50.000.000,00",2 campus,"R$ 27.798.066,36",11 obras em 9 campi,"R$ 77.798.066,36","R$ 514.334.834,01",113.08 mil,1.16 mil,19.02 mil,24,1.94 mil,107
PB,PARAÍBA,"R$ 138.511.784,97","R$ 38.319.973,62",44,"R$ 413.208.429,02",43,"R$ 26.066.367,00","R$ 39.241.042,29",131,"R$ 0,00",0,"R$ 655.347.596,90","R$ 0,00",0 campus,"R$ 47.100.000,00",6 obras em 3 campi,"R$ 32.834.479,81","R$ 79.934.479,81","R$ 100.000.000,00",4 campus,"R$ 69.032.736,52",19 obras em 11 campi,"R$ 169.032.736,52","R$ 904.314.813,23",194.79 mil,2.96 mil,29.81 mil,61,4.27 mil,273
CE,CEARÁ,"R$ 395.504.603,86","R$ 100.973.614,48",115,"R$ 613.605.799,49",59,"R$ 51.952.536,00","R$ 49.394.575,97",213,"R$ 0,00",0,"R$ 1.211.431.129,81","R$ 60.000.000,00",1 campus,"R$ 313.475.774,08",29 obras em 12 campi,"R$ 227.548.598,94","R$ 601.024.373,02","R$ 150.000.000,00",6 campus,"R$ 53.575.621,33",27 obras em 22 campi,"R$ 203.575.621,33","R$ 2.016.031.124,16",491.45 mil,4.04 mil,58.27 mil,203,8.58 mil,250
RS,RIO GRANDE DO SUL,"R$ 193.336.982,85","R$ 107.998.155,86",72,"R$ 134.990.608,41",12,"R$ 43.476.875,00","R$ 10.967.673,21",120,"R$ 0,00",0,"R$ 490.770.295,33","R$ 60.000.000,00",1 campus,"R$ 150.938.021,59",41 obras em 22 campi,"R$ 364.282.138,00","R$ 575.220.159,59","R$ 180.000.000,00",8 campus,"R$ 95.293.908,29",49 obras em 32 campi,"R$ 275.293.908,29","R$ 1.341.284.363,21",223.08 mil,6.00 mil,59.73 mil,74,9.73 mil,589
PE,PERNAMBUCO,"R$ 401.237.049,02","R$ 119.240.527,14",130,"R$ 452.267.616,50",45,"R$ 54.481.063,00","R$ 26.212.323,97",162,"R$ 0,00",0,"R$ 1.053.438.579,63","R$ 60.000.000,00",1 campus,"R$ 161.272.896,91",10 obras em 5 campi,"R$ 58.000.000,00","R$ 279.272.896,91","R$ 150.000.000,00",6 campus,"R$ 72.391.726,71",18 obras em 15 campi,"R$ 222.391.726,71","R$ 1.555.103.203,25",474.13 mil,4.22 mil,72.16 mil,76,8.06 mil,233
PR,PARANÁ,"R$ 277.980.162,74","R$ 121.644.040,77",85,"R$ 163.227.368,46",15,"R$ 21.315.327,00","R$ 4.535.264,46",55,"R$ 0,00",0,"R$ 588.702.163,43","R$ 0,00",0 campus,"R$ 865.500.000,00",21 obras em 19 campi,"R$ 0,00","R$ 865.500.000,00","R$ 140.000.000,00",6 campus,"R$ 40.050.894,26",19 obras em 15 campi,"R$ 180.050.894,26","R$ 1.634.253.057,69",261.00 mil,6.38 mil,119.73 mil,49,9.94 mil,497
RN,RIO GRANDE DO NORTE,"R$ 181.961.822,65","R$ 29.859.839,68",50,"R$ 235.341.818,21",24,"R$ 32.315.360,00","R$ 30.211.034,29",129,"R$ 0,00",0,"R$ 509.689.874,83","R$ 0,00",0 campus,"R$ 68.700.000,00",15 obras em 8 campi,"R$ 40.000.000,00","R$ 108.700.000,00","R$ 75.000.000,00",3 campus,"R$ 13.101.946,16",12 obras em 6 campi,"R$ 88.101.946,16","R$ 706.491.820,99",151.78 mil,2.25 mil,36.14 mil,81,3.23 mil,217
GO,GOIÁS,"R$ 345.473.416,85","R$ 95.649.666,13",107,"R$ 176.985.503,91",18,"R$ 12.914.184,00","R$ 7.713.201,26",41,"R$ 0,00",0,"R$ 638.735.972,15","R$ 60.000.000,00",1 campus,"R$ 82.455.527,00",10 obras em 5 campi,"R$ 0,00","R$ 142.455.527,00","R$ 75.000.000,00",3 campus,"R$ 72.849.771,09",28 obras em 16 campi,"R$ 147.849.771,09","R$ 929.041.270,24",220.55 mil,2.91 mil,52.17 mil,74,5.08 mil,367
PA,PARÁ,"R$ 253.786.715,75","R$ 142.647.913,81",95,"R$ 395.466.652,27",39,"R$ 41.041.546,00","R$ 42.318.174,97",167,"R$ 0,00",0,"R$ 875.261.002,80","R$ 35.000.000,00",1 campus,"R$ 133.788.754,00",20 obras em 13 campi,"R$ 52.000.000,00","R$ 220.788.754,00","R$ 125.000.000,00",5 campus,"R$ 54.429.202,47",16 obras em 11 campi,"R$ 179.429.202,47","R$ 1.275.478.959,27",491.40 mil,6.47 mil,127.39 mil,360,9.47 mil,265
TO,TOCANTINS,"R$ 92.508.563,92","R$ 13.709.251,34",24,"R$ 245.415.376,06",23,"R$ 17.972.891,00","R$ 7.743.179,77",52,"R$ 0,00",0,"R$ 377.349.262,09","R$ 0,00",0 campus,"R$ 37.300.000,00",6 obras em 4 campi,"R$ 0,00","R$ 37.300.000,00","R$ 25.000.000,00",1 campus,"R$ 45.234.567,31",20 obras em 6 campi,"R$ 70.234.567,31","R$ 484.883.829,40",77.96 mil,1.13 mil,21.70 mil,55,1.68 mil,180
MT,MATO GROSSO,"R$ 179.815.395,77","R$ 40.954.265,24",46,"R$ 133.883.464,16",12,"R$ 13.367.748,00","R$ 7.008.065,97",43,"R$ 0,00",0,"R$ 375.028.939,14","R$ 0,00",0 campus,"R$ 30.950.000,00",9 obras em 4 campi,"R$ 0,00","R$ 30.950.000,00","R$ 75.000.000,00",3 campus,"R$ 42.513.395,27",14 obras em 10 campi,"R$ 117.513.395,27","R$ 523.492.334,41",119.81 mil,1.72 mil,26.98 mil,38,2.67 mil,183
AL,ALAGOAS,"R$ 237.215.465,77","R$ 40.590.915,00",65,"R$ 160.679.740,39",16,"R$ 25.424.055,00","R$ 22.077.211,49",94,"R$ 0,00",0,"R$ 485.987.387,65","R$ 0,00",0 campus,"R$ 25.000.000,00",4 obras em 3 campi,"R$ 9.311.624,00","R$ 34.311.624,00","R$ 75.000.000,00",3 campus,"R$ 61.171.129,59",11 obras em 10 campi,"R$ 136.171.129,59","R$ 656.470.141,24",173.42 mil,1.78 mil,32.89 mil,33,3.12 mil,143
AM,AMAZONAS,"R$ 80.890.447,73","R$ 102.535.315,02",44,"R$ 181.178.050,17",17,"R$ 12.879.982,00","R$ 15.573.433,93",58,"R$ 0,00",0,"R$ 393.057.228,85","R$ 60.000.000,00",1 campus,"R$ 46.500.000,00",6 obras em 4 campi,"R$ 0,00","R$ 106.500.000,00","R$ 50.000.000,00",2 campus,"R$ 61.025.135,87",12 obras em 11 campi,"R$ 111.025.135,87","R$ 610.582.364,72",253.42 mil,3.11 mil,44.54 mil,122,4.22 mil,91
PI,PIAUÍ,"R$ 278.013.600,62","R$ 43.924.950,80",75,"R$ 389.415.424,16",41,"R$ 30.107.343,00","R$ 41.625.813,21",148,"R$ 0,00",0,"R$ 783.087.131,79","R$ 0,00",0 campus,"R$ 39.250.000,00",8 obras em 5 campi,"R$ 0,00","R$ 39.250.000,00","R$ 90.000.000,00",4 campus,"R$ 24.484.505,26",17 obras em 12 campi,"R$ 114.484.505,26","R$ 936.821.637,05",189.11 mil,2.99 mil,31.70 mil,123,4.32 mil,289
RO,RONDÔNIA,"R$ 61.574.224,19","R$ 47.703.910,53",24,"R$ 79.305.869,02",7,"R$ 9.458.746,00","R$ 4.789.799,66",31,"R$ 0,00",0,"R$ 202.832.549,40","R$ 0,00",0 campus,"R$ 16.300.000,00",6 obras em 3 campi,"R$ 0,00","R$ 16.300.000,00","R$ 25.000.000,00",1 campus,"R$ 27.506.734,05",11 obras em 8 campi,"R$ 52.506.734,05","R$ 271.639.283,45",66.59 mil,0.76 mil,7.05 mil,23,1.26 mil,106
ES,ESPÍRITO SANTO,"R$ 163.458.319,86","R$ 27.790.469,86",43,"R$ 198.973.345,21",20,"R$ 13.099.088,00","R$ 8.932.614,60",46,"R$ 0,00",0,"R$ 412.253.837,53","R$ 0,00",0 campus,"R$ 33.000.000,00",5 obras em 3 campi,"R$ 30.000.000,00","R$ 63.000.000,00","R$ 25.000.000,00",1 campus,"R$ 39.984.660,58",16 obras em 14 campi,"R$ 64.984.660,58","R$ 540.238.498,11",115.29 mil,2.03 mil,32.42 mil,6,4.05 mil,113
SP,SÃO PAULO,"R$ 369.586.539,45","R$ 75.445.742,25",94,"R$ 410.054.978,52",41,"R$ 6.714.437,00","R$ 7.312.098,40",28,"R$ 0,00",0,"R$ 869.113.795,63","R$ 60.000.000,00",1 campus,"R$ 272.308.028,61",18 obras em 12 campi,"R$ 281.499.068,00","R$ 613.807.096,61","R$ 370.000.000,00",16 campus,"R$ 150.198.955,12",38 obras em 26 campi,"R$ 520.198.955,12","R$ 2.003.119.847,36",993.95 mil,12.52 mil,281.93 mil,43,24.66 mil,917
RJ,RIO DE JANEIRO,"R$ 147.526.605,35","R$ 132.038.400,66",63,"R$ 313.420.154,12",29,"R$ 14.382.004,00","R$ 7.166.098,33",42,"R$ 0,00",0,"R$ 614.533.262,46","R$ 0,00",0 campus,"R$ 143.910.491,00",15 obras em 6 campi,"R$ 115.000.000,00","R$ 258.910.491,00","R$ 125.000.000,00",5 campus,"R$ 92.558.925,49",36 obras em 24 campi,"R$ 217.558.925,49","R$ 1.091.002.678,95",493.90 mil,4.85 mil,72.62 mil,25,10.86 mil,136
AC,ACRE,"R$ 19.835.434,92","R$ 11.914.564,56",7,"R$ 116.932.090,44",10,"R$ 9.476.125,00","R$ 7.572.054,11",33,"R$ 0,00",0,"R$ 165.730.269,03","R$ 0,00",0 campus,"R$ 40.000.000,00",6 obras em 1 campi,"R$ 50.000.000,00","R$ 90.000.000,00","R$ 25.000.000,00",1 campus,"R$ 8.577.487,35",5 obras em 3 campi,"R$ 33.577.487,35","R$ 289.307.756,38",48.25 mil,0.85 mil,12.68 mil,27,1.19 mil,39
RR,RORAIMA,"R$ 12.147.872,44","R$ 11.209.130,62",5,"R$ 43.008.284,23",4,"R$ 3.154.131,00","R$ 4.881.506,76",16,"R$ 0,00",0,"R$ 74.400.925,05","R$ 0,00",0 campus,"R$ 8.400.000,00",4 obras em 1 campi,"R$ 50.000.000,00","R$ 58.400.000,00","R$ 25.000.000,00",1 campus,"R$ 21.050.688,00",6 obras em 3 campi,"R$ 46.050.688,00","R$ 178.851.613,05",28.89 mil,0.47 mil,4.55 mil,6,0.45 mil,29
AP,AMAPÁ,"R$ 38.924.378,92","R$ 27.646.609,22",16,"R$ 33.966.150,47",3,"R$ 0,00","R$ 4.983.978,62",10,"R$ 0,00",0,"R$ 105.521.117,23","R$ 0,00",0 campus,"R$ 20.700.000,00",7 obras em 6 campi,"R$ 0,00","R$ 20.700.000,00","R$ 44.719.412,48",2 campus,"R$ 24.762.591,14",7 obras em 5 campi,"R$ 69.482.003,62","R$ 195.703.120,85",46.09 mil,0.29 mil,10.60 mil,19,0.44 mil,35
DF,DISTRITO FEDERAL,"R$ 10.920.551,36","R$ 10.664.508,54",5,"R$ 11.087.567,56",1,"R$ 0,00","R$ 0,00",0,"R$ 0,00",0,"R$ 32.672.627,46","R$ 0,00",0 campus,"R$ 58.900.000,00",2 obras em 1 campi,"R$ 0,00","R$ 58.900.000,00","R$ 50.000.000,00",2 campus,"R$ 22.831.426,03",11 obras em 1 campi,"R$ 72.831.426,03","R$ 164.404.053,49",78.94 mil,0.45 mil,14.34 mil,0,0.96 mil,29